index	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
VEGFA	VEGFA	3.2249903415257993e-91	1.08691570590123	1.18064186303077	0.9931895487716881	4.853610463996319e-88	VEGFA	1.08691570590123	3.2249903415257993e-91	1.6687447	300.6061617949129
EPB41L4A-AS1	EPB41L4A-AS1	9.834954740965297e-87	0.839000106883006	0.9185968435110671	0.759403370254945	1.2334672404293998e-83	EPB41L4A-AS1	0.839000106883006	9.834954740965297e-87	2.1902769	285.7098258417547
P4HA1	P4HA1	6.471543429538388e-82	1.0023852068433399	1.09507868758446	0.9096917261022142	5.729219330267809e-79	P4HA1	1.0023852068433399	6.471543429538388e-82	1.0595942	269.7039939522257
NDRG1	NDRG1	9.07166784664842e-75	1.13780328271674	1.25585498993131	1.01975157550218	6.20584550418449e-72	NDRG1	1.13780328271674	9.07166784664842e-75	0.8706091	245.96323929866685
TAF1D	TAF1D	1.8892760324146195e-73	0.648507516175729	0.7176346291493421	0.5793804032021159	1.1847335119933297e-70	TAF1D	0.648507516175729	1.8892760324146195e-73	2.874306	241.582917424891
SNHG8	SNHG8	2.5822646187110594e-72	0.674802507457283	0.746063365088981	0.603541649825585	1.5545233004640597e-69	SNHG8	0.674802507457283	2.5822646187110594e-72	2.9228885	237.81018598285584
GPI	GPI	3.0072136906053897e-53	0.665848266973979	0.747926837536989	0.583769696410969	1.2232044876651698e-50	GPI	0.665848266973979	3.0072136906053897e-53	2.3778179	174.47376164052534
FAM162A	FAM162A	1.0131465607643802e-46	0.660161943378398	0.7475472091776151	0.572776677579182	3.24422462542635e-44	FAM162A	0.660161943378398	1.0131465607643802e-46	2.1962745	152.7898494767668
BNIP3	BNIP3	5.877513115003759e-38	0.8300468724083679	0.951592528956163	0.708501215860573	1.2285635052889801e-35	BNIP3	0.8300468724083679	5.877513115003759e-38	2.710342	123.67806175262756
TXNIP	TXNIP	1.2513278551782698e-36	0.782953473394365	0.89966099437416	0.6662459524145711	2.44577717148481e-34	TXNIP	0.782953473394365	1.2513278551782698e-36	1.1625396	119.26595158241999
MX1	MX1	5.51832762113717e-22	-0.5867947707242571	-0.49004198110987	-0.6835475603386449	4.6139350387841294e-20	MX1	-0.5867947707242571	5.51832762113717e-22	1.2282015	-70.61818697599954
